issue	title	disposition	semantic_class	rationale/evidence
26	ADR-032 programme: paused mid-tag-4 (resume tracking)	product_feature_nonfoundation_defer	program_tracking	Paused product programme; outside the bounded post-G tag-safety closeout.
141	agentic-tools/bash: chain-scoped worktree native to BashExecutor	product_feature_nonfoundation_defer	agentic_tools	Product executor enhancement; no present tag-safety premise.
142	docs/operations: always-warm sandbox as documented default deployment	product_feature_nonfoundation_defer	operations	Deployment-policy documentation; requires measured adopter operations evidence.
143	agentic-tools/bash: preview-first output for large fetches (pagination)	product_feature_nonfoundation_defer	agentic_tools	Product output UX enhancement; outside foundation closeout.
144	agentic-tools/sandbox: URL allowlist/blocklist + egress-rate ceilings (config)	product_feature_nonfoundation_defer	security_policy	Product security/config feature; separate adopter surface and review.
145	agentic-tools: per-chain URL response cache (TTL-bounded, KV-backed)	product_feature_nonfoundation_defer	agentic_tools	New durable cache feature; separate design and retention owner.
176	graph-query: write the bulk-reads & pagination design doc (wire pagination shipped via #303/#307)	overlapping_partly_superseded	graph_query	Wire pagination already shipped; remaining documentation is separate from the admitted-operation closeout.
194	GeminiAdapter capture-side gap on OpenAI-compat: `thought_signature` not present in tool-call responses, #188 echo fix has nothing to echo	product_feature_nonfoundation_defer	model_adapter	Provider-specific product behavior; not graph foundation tag safety.
211	feat(graph-gateway): implement read-only MCP server	product_feature_nonfoundation_defer	gateway	New gateway feature; no present tag-safety consumer.
212	vocabulary/cco: define minimal BFO/CCO alignment profile for agentic harness	product_feature_nonfoundation_defer	vocabulary	Domain vocabulary feature outside substrate closeout.
219	vocabulary/export: document SHACL compatibility and add validation fixture	product_feature_nonfoundation_defer	vocabulary	Export compatibility feature outside tag-safety scope.
223	Pin remaining @latest tool references (task runner)	current_release_test_substrate	build_reproducibility	Unpinned task tooling can make an exact candidate non-reproducible.
230	feat(skills): add dependency coordinate resolver workflow	product_feature_nonfoundation_defer	developer_experience	Workflow feature outside framework substrate.
236	Wire structural index (k-core centrality + pivot distance) into graph query/search ranking	deliberately_deferred_foundation	graph_index	New ranking integration; distinct feature with no tag-safety requirement.
301	e2e:crud-tools fails: create_rule tool never invoked (pre-existing, reproduces on clean main)	current_release_test_substrate	e2e	Known reproducible E2E substrate failure requires explicit fold-or-delete disposition, not silent gating.
306	Refine graph.query.prefix byte-budget / count-cap for routinely-large entities	current_foundation_finding	query_bounds	Current bounded-response contract finding; separate from #855 closeout implementation.
309	component: expose backpressure metrics for flow ports	product_feature_nonfoundation_defer	observability	New metrics surface; requires consumer and operational evidence.
315	fix(graph): align capabilities route with graph-query responder	stale_or_changed_premise	graph_gateway	`capabilities` is absent from the current GraphQL surface; the phantom route premise is gone.
320	agentic-loop: harden approval-response wire-publish — test seam + failure metric (follow-ups from #266 review)	product_feature_nonfoundation_defer	agentic_loop	Agentic reliability feature outside graph-foundation tag safety.
323	agentic-dispatch: mapKVOperation is dead in production + duplicated by activityEventTypeAndID (#226 follow-up)	product_feature_nonfoundation_defer	code_hygiene	Product-package cleanup; not a tag-safety invariant.
330	graph-index: restore live coverage for predicate value-filter path (filterEntitiesByPredicateValue/normalizeToString) — #164 part-1 follow-up	current_foundation_finding	graph_index	Current index coverage finding remains after post-G consolidation.
340	docs/pattern: raw-lane plus current-state projection guidance	product_feature_nonfoundation_defer	documentation	General pattern guidance outside the bounded closeout.
347	ADR-045 Phase 2: research_graph chain — operator validation + Phase 2 candidates (gated)	product_feature_nonfoundation_defer	research	Product/operator phase work; #391 supplies only the deterministic framework branch.
348	graph-query/graphrag: strategy + loadEntities seams WrapTransient collapses downstream Invalid/Fatal to Transient (gh#326 follow-up)	current_foundation_finding	query_outcomes	Current canonical outcome-classification finding.
367	docs/projection: add graph-visible provenance and confidence conventions	product_feature_nonfoundation_defer	projection	Semantic convention work outside substrate closeout.
376	Research: deterministic graph fusion as a framework primitive (deterministic sibling of research_graph / ADR-045)	stale_or_changed_premise	research	Graph research is now an atomic capability bundle; the original missing-primitive premise changed.
382	gated-dag: add first-class reset/requeue semantics for recovered units	product_feature_nonfoundation_defer	gated_dag	New orchestration behavior outside tag safety.
383	processor/rule: make rule-level max_iterations impossible to mistake for enforcement	product_feature_nonfoundation_defer	rule	Product configuration clarity; separate rule programme.
384	agentic-loop: enforce loop TimeoutAt without requiring model/tool progress	product_feature_nonfoundation_defer	agentic_loop	Agent-loop execution feature outside graph foundation.
391	e2e:research-graph routes synthesize_directly → never exercises pkg/fusion (coverage gap)	current_release_test_substrate	research_e2e	Verified scenario lines 446-553 skip execute/assess; deterministic full-fusion branch is a tag criterion.
421	framework: client libraries need readiness-aware variants for downstream cold-start callers (gh#420 follow-on)	overlapping_partly_superseded	readiness	Aggregate query client was deleted; typed operation-local readiness exists, leaving only specific caller evidence.
422	hygiene: unused exported query API (graph/query/client.go predicate methods, QueryPrefix, NewNATSContentFetcher)	stale_or_changed_premise	graph_query	The aggregate graph/query client cohort is deleted.
424	rule: suppress benign invalid subscription errors during entity watcher shutdown	product_feature_nonfoundation_defer	rule	Rule shutdown hygiene outside closeout.
436	gated-dag: ignore hierarchy container entities under unit prefix	current_foundation_finding	hierarchy	Current interaction between write-side hierarchy effects and gated-DAG enumeration.
453	agentic-loop: config Validate does not enforce heartbeat_interval < ack_wait (documented, not validated)	product_feature_nonfoundation_defer	agentic_loop	Product config validation feature outside tag safety.
457	docs: audit + remediate tutorial/concept docs that describe the RETIRED processor/reactive engine as current guidance	product_feature_nonfoundation_defer	documentation	Broader documentation audit; not required to prove the selected foundation substrate.
465	graph-clustering: adaptive EntityID edge synthesis — skip virtual edges for entities with explicit degree ≥ k	product_feature_nonfoundation_defer	clustering	Clustering-quality enhancement; requires product evidence.
469	flaky test: TestWebSocketFederation_MessageEnvelopeProtocol (+ flow_runtime_stream websocket read panic) trips the integration gate intermittently	current_release_test_substrate	integration	A reproducible/flaky required gate is release substrate, not ignorable product work.
472	message-logger /entries applies limit before subject filter — agent/tool queries return 0 under graph-ingest storms	product_feature_nonfoundation_defer	message_logger	Optional diagnostic-service behavior; separate fix.
477	agentic: reusable AGENT_LOOPS terminal-completion watcher — semspec hand-rolls the same pattern 5×	product_feature_nonfoundation_defer	agentic_loop	Potential shared helper needs downstream evidence and its own seam review.
486	Docs: stale pages misreport fan-out/parallel as unsupported (concept 23 + deep-research rule comment)	product_feature_nonfoundation_defer	documentation	Product documentation drift outside tag-safety invariants.
498	pkg/lifecycle: Create/Transition are one-entity-per-call — a spawn/cull wave is N graph-ingest round-trips	current_foundation_finding	lifecycle	Current framework API/performance finding; requires measured workload before redesign.
525	graph-index L2: re-index change-detection (gated on gh#474's no-op counter)	stale_or_changed_premise	graph_index	Owner-filtered complete replacement changed the original re-index premise; remeasure before work.
526	graph-index L3: Put-path resource isolation (gated on post-gh#474 starvation re-measurement)	deliberately_deferred_foundation	graph_index	Explicitly measurement-gated resource hardening; no isolated tag-safety proof.
527	graph-index retention Increment-0: freeze composite-key storage contract + durable reverse projection	overlapping_partly_superseded	graph_index	Current predicate/name/incoming layouts and owner replacement cover part; remaining retention is separate.
546	vocabulary: add error-returning TryRegister — the panicking Register is the only declaration form	product_feature_nonfoundation_defer	vocabulary	New API surface outside tag safety.
553	agentic-loop: stamp an explicitly-empty advertised tool set (tools: []) so zero-tool loops fail closed at the executor	product_feature_nonfoundation_defer	agentic_loop	Product execution contract outside graph foundation.
560	rule: deleted-entity state cleanup (DeleteAllForEntity) shares the gh#557 shutdown window — lost cleanup reopens gh#358 with no TTL backstop	product_feature_nonfoundation_defer	rule	Rule cleanup/retention concern; separate owner and evidence.
571	graph/query/client.go: per-write ENTITY_STATES watcher + whole-client sticky latch (D10 carve-out from poison-response-scoping)	stale_or_changed_premise	graph_query	The aggregate client and its sticky watcher/latch are deleted.
576	message.Triple.Confidence cannot represent an intentional 0.0 assertion (presence bit needed)	product_feature_nonfoundation_defer	message_model	Domain-model change requires separate breaking design.
578	Enhancement: opt-in source-authoritative predicate replacement on stream upsert (express now-zero over the merge path)	product_feature_nonfoundation_defer	mutation	New mutation semantics; outside tag-safety closeout.
579	Design gap: shared "graph view subscription" (read-side fan-out for many clients on a busy graph)	overlapping_partly_superseded	graph_views	Producer-owned reads and operation-local query contracts changed the broad shared-view premise; needs measured consumers.
582	Operator-facing lesson promotion surface (thin endpoint wrapping LessonCurator)	product_feature_nonfoundation_defer	operator_api	New product/operator endpoint outside foundation.
586	natsclient: attribute slow-consumer log + expose watcher pending-limit config	product_feature_nonfoundation_defer	natsclient	Operational observability/config surface requires measured need.
587	message-logger: migrate per-client /kv/{bucket}/watch SSE to a shared graphview	product_feature_nonfoundation_defer	message_logger	Optional diagnostic-service optimization; separate from query foundation.
588	graphview: consolidate COMMUNITY_INDEX and EMBEDDING_INDEX watchers onto shared views (2->1 each)	overlapping_partly_superseded	graph_views	Current producer-owned views/readiness overlap the proposal; performance premise must be remeasured.
589	graph/inference: remove or repurpose dead storage.Watch (no production caller)	deliberately_deferred_foundation	code_hygiene	Verified no production consumer; bounded cleanup but not tag-safety work.
603	Impact facet should name direct dependents, bounded and truncation-labeled	current_foundation_finding	query_projection	Current response truth/bounds finding.
606	Community detection: hierarchy levels are fake — WithLevels(3) with no real coarsening (each level re-clusters the full entity set)	current_foundation_finding	clustering	Current clustering semantic claim requires correction or implementation.
608	graph-clustering: LLM down at startup disables enhancement permanently (no retry); level-blind GetCommunity scan remains	current_foundation_finding	clustering	Current lifecycle/degradation behavior; separate from #855 invariant.
609	graph-query: GraphRAG readiness latch never un-sets; disableGraphRAG cites nonexistent IsAvailable; detection loop has no immediate first run	overlapping_partly_superseded	readiness	Post-G local generation contract supersedes part; remaining implementation details require fresh proof.
618	clustering: readiness gate + classified similarity exist only behind default-off enable_semantic_edges; anomaly-path FindSimilar still fails open	current_foundation_finding	readiness	Current readiness/outcome inconsistency remains.
619	BM25 statistics are process-local and order-dependent — restart forks the vector space (decision + restart known-answer test)	current_foundation_finding	embedding	Current deterministic restart invariant is unproven.
620	Delete phantom signals and inert config across the graph core (~400-500 LOC, no behavior change)	overlapping_partly_superseded	graph_core	Several phantom surfaces were removed; remaining rows need a frozen fresh census.
621	fusion + pathrag: truncation at maxRelationsPerNode/maxPaths is unlabeled; pathrag maxNodes has no ceiling	overlapping_partly_superseded	query_bounds	Bounded response work overlaps current projection truth but retains specific unlabeled truncation findings.
633	Orphaned content-addressed blob GC (ADR-068 increment 6) — reference-aware reclamation	deliberately_deferred_foundation	retention	No production reference-aware collector exists; requires a separate retention programme.
643	e2e:semantic needs a cache-control seam to deterministically exercise the #604 reorder + #597 cache-residency soak	current_release_test_substrate	semantic_e2e	Deterministic coverage seam for a required pre-tag tier; separate from speculative production soak.
652	Two LLM chat-request builders (agentic-model + graph/llm) drift on endpoint settings — consolidate onto one shared endpoint-applier	product_feature_nonfoundation_defer	llm	Shared endpoint helper is outside graph tag safety.
659	Schema generator drops type:number (float64) config fields from generated schemas	product_feature_nonfoundation_defer	schema	Schema feature defect is current but outside the selected closeout; track independently.
661	graph-clustering: SaveCommunity re-Puts every community every cycle (COMMUNITY_INDEX rewrite/watcher churn on an unchanged graph)	current_foundation_finding	clustering	Current deterministic churn/performance finding.
667	predicate-audit: large source lines abort whole-repository audit with bufio.Scanner token too long	product_feature_nonfoundation_defer	tooling	Audit-tool robustness outside runtime tag safety.
668	gated-dag docs contradict canonical predicate validation in beta.158	product_feature_nonfoundation_defer	documentation	Product-package documentation correction outside closeout.
